make,model,variant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Maruti Suzuki,Swift,VXi RS,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift,ZDi,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Maruti Suzuki,Swift,ZXi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maruti Suzuki,Swift,ZXi 1.2 BS-IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,LDi BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,LXi 1.2 BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,VDi BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,VXi 1.2 BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,ZDi BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Swift Dzire,ZXi 1.2 BS-IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,AX,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,Celebration (Diesel),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,Celebration (Petrol),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,VDI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,VXi,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,VXI BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,VXI CNG BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZDI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZDI LEATHER,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXi,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXI AT BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXI AT LEATHER BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXi Leather Option,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXI MT BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,SX4,ZXI MT LEATHER BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R,LX,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R,LXi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R 1.0,LXi CNG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R 1.0,LXi LPG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R 1.0,VXi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Wagon R 1.0,Vxi ABS-Airbag,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazda,2,2.0L MT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,GL,3.0 Grand Edition Executive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,GL,3.0 Grand Edition Luxury,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,GL,320 CDI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,GL,350 CDI BlueEFFICIENCY,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,GL,500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,350,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,55 AMG,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,SLK 200 K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,SLK 230 K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,SLK 320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,SLK 350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,SLK-Class,SLK 55 AMG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica eV2,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica eV2,LE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica eV2,LS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica eV2,LX,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,DLG DiCOR BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,DLS DiCOR BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbo DLG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbo DLS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
